time,temperature,humidity,rain
2022-08-02 00:00:00,20.1,78,0
2022-08-02 00:10:00,19.5,84,
2022-08-02 00:20:00,19,88,
2022-08-02 00:30:00,19,89,1.3
2022-08-02 00:40:00,18.8,90,
2022-08-02 00:50:00,18.8,91,
2022-08-02 01:00:00,18.6,92,1.6
2022-08-02 01:10:00,18.5,92,
2022-08-02 01:20:00,18.3,92,
2022-08-02 01:30:00,18.3,91,1.2
2022-08-02 01:40:00,18.3,90,
2022-08-02 01:50:00,18.4,90,
2022-08-02 02:00:00,18.5,90,0.9
2022-08-02 02:10:00,18.5,91,
2022-08-02 02:20:00,18.5,92,
2022-08-02 02:30:00,18.5,92,0.7
2022-08-02 02:40:00,18.5,93,
2022-08-02 02:50:00,18.5,92,
2022-08-02 03:00:00,18.5,92,0.5
2022-08-02 03:10:00,18.4,92,
2022-08-02 03:20:00,18.3,92,
2022-08-02 03:30:00,18.2,92,1.1
2022-08-02 03:40:00,18.2,92,
2022-08-02 03:50:00,18.2,92,
2022-08-02 04:00:00,18.2,92,0.3
2022-08-02 04:10:00,18.1,92,
2022-08-02 04:20:00,18.1,92,
2022-08-02 04:30:00,18.1,92,0.1
2022-08-02 04:40:00,18.1,93,
2022-08-02 04:50:00,18.1,94,
2022-08-02 05:00:00,18.1,94,0.1
2022-08-02 05:10:00,18.1,95,
2022-08-02 05:20:00,18.1,94,
2022-08-02 05:30:00,18.1,94,0
2022-08-02 05:40:00,18,94,
2022-08-02 05:50:00,17.9,93,
2022-08-02 06:00:00,18,93,0
2022-08-02 06:10:00,18,92,
2022-08-02 06:20:00,18.1,92,
2022-08-02 06:30:00,18.2,91,0
2022-08-02 06:40:00,18.3,89,
2022-08-02 06:50:00,18.4,88,
2022-08-02 07:00:00,18.5,86,0
2022-08-02 07:10:00,18.7,85,
2022-08-02 07:20:00,18.9,85,
2022-08-02 07:30:00,19,84,0
2022-08-02 07:40:00,19.1,83,
2022-08-02 07:50:00,19.1,83,
2022-08-02 08:00:00,19.1,83,0
2022-08-02 08:10:00,19.2,83,
2022-08-02 08:20:00,19.3,83,
2022-08-02 08:30:00,19.4,83,0
2022-08-02 08:40:00,19.4,82,
2022-08-02 08:50:00,19.5,81,
2022-08-02 09:00:00,19.6,80,0
2022-08-02 09:10:00,19.7,81,
2022-08-02 09:20:00,19.8,80,
2022-08-02 09:30:00,19.9,81,0
2022-08-02 09:40:00,20.3,80,
2022-08-02 09:50:00,20.6,77,
2022-08-02 10:00:00,21.1,75,0
2022-08-02 10:10:00,21.7,73,
2022-08-02 10:20:00,22.2,73,
2022-08-02 10:30:00,23,69,0
2022-08-02 10:40:00,23.1,68,
2022-08-02 10:50:00,22.7,69,
2022-08-02 11:00:00,23.6,66,0
2022-08-02 11:10:00,24,61,
2022-08-02 11:20:00,24.2,59,
2022-08-02 11:30:00,24.3,58,0
2022-08-02 11:40:00,24.6,57,
2022-08-02 11:50:00,25.2,56,
2022-08-02 12:00:00,25.7,54,0
2022-08-02 12:10:00,25.7,53,
2022-08-02 12:20:00,26.4,50,
2022-08-02 12:30:00,26.7,50,0
2022-08-02 12:40:00,27.1,51,
2022-08-02 12:50:00,27.4,52,
2022-08-02 13:00:00,27.8,50,0
2022-08-02 13:10:00,28.4,46,
2022-08-02 13:20:00,28.5,46,
2022-08-02 13:30:00,28.2,46,0
2022-08-02 13:40:00,27.8,46,
2022-08-02 13:50:00,28.2,44,
2022-08-02 14:00:00,28.2,44,0
2022-08-02 14:10:00,28,45,
2022-08-02 14:20:00,27.8,46,
2022-08-02 14:30:00,27.6,46,0
2022-08-02 14:40:00,27.5,47,
2022-08-02 14:50:00,27,49,
2022-08-02 15:00:00,26.4,51,0
2022-08-02 15:10:00,26.3,51,
2022-08-02 15:20:00,26.7,50,
2022-08-02 15:30:00,27.7,48,0
2022-08-02 15:40:00,28,46,
2022-08-02 15:50:00,28.4,42,
2022-08-02 16:00:00,28.3,42,0
2022-08-02 16:10:00,28.5,41,
2022-08-02 16:20:00,27.1,50,
2022-08-02 16:30:00,25.6,56,0
2022-08-02 16:40:00,25.3,58,
2022-08-02 16:50:00,25.1,60,
2022-08-02 17:00:00,25.1,60,0
2022-08-02 17:10:00,25.4,60,
2022-08-02 17:20:00,25.6,58,
2022-08-02 17:30:00,25.3,60,0
2022-08-02 17:40:00,25,60,
2022-08-02 17:50:00,25,59,
2022-08-02 18:00:00,25,59,0
2022-08-02 18:10:00,25,60,
2022-08-02 18:20:00,25.1,60,
2022-08-02 18:30:00,25,60,0
2022-08-02 18:40:00,24.8,61,
2022-08-02 18:50:00,24.6,61,
2022-08-02 19:00:00,24.4,61,0
2022-08-02 19:10:00,24.4,60,
2022-08-02 19:20:00,24.3,60,
2022-08-02 19:30:00,24,62,0
2022-08-02 19:40:00,23.7,65,
2022-08-02 19:50:00,23.5,66,
2022-08-02 20:00:00,23.3,67,0
2022-08-02 20:10:00,23.1,69,
2022-08-02 20:20:00,22.9,71,
2022-08-02 20:30:00,22.8,72,0
2022-08-02 20:40:00,22.6,72,
2022-08-02 20:50:00,22.4,73,
2022-08-02 21:00:00,22.3,74,0
2022-08-02 21:10:00,22.2,75,
2022-08-02 21:20:00,22,76,
2022-08-02 21:30:00,21.8,76,0
2022-08-02 21:40:00,21.6,76,
2022-08-02 21:50:00,21.5,76,
2022-08-02 22:00:00,21.4,76,0
2022-08-02 22:10:00,21.3,77,
2022-08-02 22:20:00,21.2,79,
2022-08-02 22:30:00,21,80,0
2022-08-02 22:40:00,20.8,81,
2022-08-02 22:50:00,20.5,82,
2022-08-02 23:00:00,20.4,82,0
2022-08-02 23:10:00,20.1,82,
2022-08-02 23:20:00,19.8,83,
2022-08-02 23:30:00,19.6,84,0
2022-08-02 23:40:00,19.4,85,
2022-08-02 23:50:00,19.3,85,
2022-08-03 00:00:00,19.2,86,0
2022-08-03 00:10:00,19.2,85,
2022-08-03 00:20:00,19.2,85,
2022-08-03 00:30:00,19.1,85,0
2022-08-03 00:40:00,19,85,
2022-08-03 00:50:00,19,85,
2022-08-03 01:00:00,18.9,85,0
2022-08-03 01:10:00,18.7,86,
2022-08-03 01:20:00,18.6,86,
2022-08-03 01:30:00,18.4,87,0
2022-08-03 01:40:00,18.3,87,
2022-08-03 01:50:00,18.3,87,
2022-08-03 02:00:00,18.1,88,0
2022-08-03 02:10:00,18,89,
2022-08-03 02:20:00,18,89,
2022-08-03 02:30:00,17.9,89,0
2022-08-03 02:40:00,17.9,89,
2022-08-03 02:50:00,17.8,90,
2022-08-03 03:00:00,17.8,90,0
2022-08-03 03:10:00,17.6,91,
